name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Borja Iglesias,Real Betis Sevilla,Spain,Spain,Attack,Centre-Forward,Right,187,25000000.0,ES1,30.0
Sergio Canales,Real Betis Sevilla,Spain,Spain,Attack,Attacking Midfield,Left,178,20000000.0,ES1,32.0
Nabil Fekir,Real Betis Sevilla,France,France,Attack,Attacking Midfield,Left,173,40000000.0,ES1,30.0
Guido Rodríguez,Real Betis Sevilla,Argentina,Argentina,Midfield,Defensive Midfield,Right,185,28000000.0,ES1,29.0
William Carvalho,Real Betis Sevilla,Portugal,Angola,Midfield,Defensive Midfield,Right,187,16000000.0,ES1,31.0
Juanmi,Real Betis Sevilla,Spain,Spain,Attack,Left Winger,Right,172,15000000.0,ES1,30.0
Álex Moreno,Real Betis Sevilla,Spain,Spain,Defender,Left-Back,Left,179,20000000.0,ES1,30.0
Rui Silva,Real Betis Sevilla,Portugal,Portugal,Goalkeeper,,Left,191,15000000.0,ES1,29.0
Patrik Schick,Bayer 04 Leverkusen,Czech Republic,Czech Republic,Attack,Centre-Forward,Left,191,38000000.0,L1,27.0
Amine Adli,Bayer 04 Leverkusen,France,France,Attack,Right Winger,Left,174,12000000.0,L1,23.0
Moussa Diaby,Bayer 04 Leverkusen,France,France,Attack,Left Winger,Left,170,50000000.0,L1,24.0
Florian Wirtz,Bayer 04 Leverkusen,Germany,Germany,Attack,Attacking Midfield,Right,176,70000000.0,L1,20.0
Exequiel Palacios,Bayer 04 Leverkusen,Argentina,Argentina,Midfield,Central Midfield,Right,177,15000000.0,L1,25.0
Kerem Demirbay,Bayer 04 Leverkusen,Germany,Germany,Midfield,Central Midfield,Left,183,12000000.0,L1,30.0
Sardar Azmoun,Bayer 04 Leverkusen,Iran,Iran,Attack,Centre-Forward,Both,186,12000000.0,L1,28.0
Jeremie Frimpong,Bayer 04 Leverkusen,Netherlands,Netherlands,Defender,Right-Back,Right,171,25000000.0,L1,23.0
Piero Hincapié,Bayer 04 Leverkusen,Ecuador,Ecuador,Defender,Centre-Back,Left,183,25000000.0,L1,21.0
Jonathan Tah,Bayer 04 Leverkusen,Germany,Germany,Defender,Centre-Back,Right,195,20000000.0,L1,27.0
Edmond Tapsoba,Bayer 04 Leverkusen,Burkina Faso,Burkina Faso,Defender,Centre-Back,Right,194,30000000.0,L1,24.0
Jonathan David,Losc Lille,Canada,United States,Attack,Centre-Forward,Both,177,45000000.0,FR1,23.0
Renato Sanches,Losc Lille,Portugal,Portugal,Midfield,Central Midfield,Right,176,25000000.0,FR1,26.0
Amadou Onana,Losc Lille,Belgium,Senegal,Midfield,Defensive Midfield,Right,195,35000000.0,FR1,22.0
Jonathan Bamba,Losc Lille,France,France,Attack,Left Winger,Right,175,20000000.0,FR1,27.0
Zeki Celik,Losc Lille,Turkey,Turkey,Defender,Right-Back,Right,180,15000000.0,FR1,26.0
Tiago Djaló,Losc Lille,Portugal,Portugal,Defender,Centre-Back,Right,190,12000000.0,FR1,23.0
Timothy Weah,Losc Lille,United States,United States,Attack,Right Winger,Right,183,12000000.0,FR1,23.0
Sven Botman,Losc Lille,Netherlands,Netherlands,Defender,Centre-Back,Left,195,38000000.0,FR1,23.0
Angel Gomes,Losc Lille,England,England,Attack,Attacking Midfield,Right,168,13000000.0,FR1,23.0
Lucas Gourna-Douath,As Saint Etienne,France,France,Midfield,Defensive Midfield,Right,185,12000000.0,FR1,20.0
Sékou Mara,Fc Girondins Bordeaux,France,France,Attack,Centre-Forward,Right,183,12000000.0,FR1,21.0
Kevin Volland,As Monaco,Germany,Germany,Attack,Centre-Forward,Left,174,16000000.0,FR1,31.0
Hugo Ekitiké,Stade Reims,France,France,Attack,Centre-Forward,Right,189,25000000.0,FR1,21.0
Mathys Tel,Fc Stade Rennes,France,France,Attack,Centre-Forward,Right,183,20000000.0,FR1,18.0
Jérémy Doku,Fc Stade Rennes,Belgium,Belgium,Attack,Right Winger,Right,173,18000000.0,FR1,21.0
Kamaldeen Sulemana,Fc Stade Rennes,Ghana,Ghana,Attack,Left Winger,Right,175,18000000.0,FR1,21.0
Désiré Doué,Fc Stade Rennes,France,France,Attack,Attacking Midfield,Right,181,15000000.0,FR1,18.0
Lovro Majer,Fc Stade Rennes,Croatia,Croatia,Attack,Attacking Midfield,Left,178,22000000.0,FR1,25.0
Kasper Dolberg,Ogc Nizza,Denmark,Denmark,Attack,Centre-Forward,Right,187,12000000.0,FR1,26.0
Calvin Stengs,Ogc Nizza,Netherlands,Netherlands,Attack,Right Winger,Left,182,11000000.0,FR1,25.0
Justin Kluivert,Ogc Nizza,Netherlands,Netherlands,Attack,Left Winger,Both,172,14000000.0,FR1,24.0
Martin Terrier,Fc Stade Rennes,France,France,Attack,Left Winger,Right,184,35000000.0,FR1,26.0
Amine Gouiri,Ogc Nizza,France,France,Attack,Centre-Forward,Right,181,38000000.0,FR1,23.0
Youcef Atal,Ogc Nizza,Algeria,Algeria,Defender,Right-Back,Both,176,14000000.0,FR1,27.0
Khéphren Thuram,Ogc Nizza,France,Italy,Midfield,Defensive Midfield,Right,192,25000000.0,FR1,22.0
Jean-Clair Todibo,Ogc Nizza,France,French Guiana,Defender,Centre-Back,Right,190,20000000.0,FR1,24.0
Walter Benítez,Ogc Nizza,Argentina,Argentina,Goalkeeper,,Right,191,12000000.0,FR1,30.0
Benjamin Bourigeaud,Fc Stade Rennes,France,France,Midfield,Right Midfield,Right,178,18000000.0,FR1,29.0
Adrien Truffert,Fc Stade Rennes,France,Belgium,Defender,Left-Back,Left,176,15000000.0,FR1,22.0
Nayef Aguerd,Fc Stade Rennes,Morocco,Morocco,Defender,Centre-Back,Left,188,25000000.0,FR1,27.0
Elye Wahi,Montpellier Hsc,France,France,Attack,Centre-Forward,Right,184,18000000.0,FR1,20.0
Andy Delort,Montpellier Hsc,Algeria,France,Attack,Centre-Forward,Right,181,12000000.0,FR1,32.0
Téji Savanier,Montpellier Hsc,France,France,Attack,Attacking Midfield,Right,172,12000000.0,FR1,32.0
Gaëtan Laborde,Montpellier Hsc,France,France,Attack,Centre-Forward,Left,181,14000000.0,FR1,29.0
Wout Faes,Stade Reims,Belgium,Belgium,Defender,Centre-Back,Right,187,20000000.0,FR1,25.0
Moussa Dembélé,Olympique Lyon,France,France,Attack,Centre-Forward,Right,187,18000000.0,FR1,27.0
Rayan Cherki,Olympique Lyon,France,France,Attack,Right Winger,Both,176,18000000.0,FR1,20.0
Lucas Paquetá,Olympique Lyon,Brazil,Brazil,Attack,Attacking Midfield,Left,180,45000000.0,FR1,26.0
Maxence Caqueret,Olympique Lyon,France,France,Midfield,Central Midfield,Right,174,25000000.0,FR1,23.0
Houssem Aouar,Olympique Lyon,France,France,Midfield,Central Midfield,Right,175,20000000.0,FR1,25.0
Karl Toko Ekambi,Olympique Lyon,Cameroon,France,Attack,Left Winger,Right,185,12000000.0,FR1,31.0
Malo Gusto,Olympique Lyon,France,France,Defender,Right-Back,Right,179,15000000.0,FR1,20.0
Castello Lukeba,Olympique Lyon,France,France,Defender,Centre-Back,Left,184,20000000.0,FR1,21.0
Jonathan Clauss,Rc Lens,France,France,Midfield,Right Midfield,Right,178,15000000.0,FR1,31.0
Seko Fofana,Rc Lens,Cote d'Ivoire,France,Midfield,Central Midfield,Right,185,30000000.0,FR1,28.0
Cheick Doucouré,Rc Lens,Mali,Mali,Midfield,Defensive Midfield,Right,180,30000000.0,FR1,23.0
Facundo Medina,Rc Lens,Argentina,Argentina,Defender,Centre-Back,Left,184,15000000.0,FR1,24.0
Wissam Ben Yedder,As Monaco,France,France,Attack,Centre-Forward,Both,170,20000000.0,FR1,33.0
Aleksandr Golovin,As Monaco,Russia,Russia,Attack,Attacking Midfield,Right,178,22000000.0,FR1,27.0
Youssouf Fofana,As Monaco,France,France,Midfield,Central Midfield,Right,185,25000000.0,FR1,24.0
Aurélien Tchouameni,As Monaco,France,France,Midfield,Defensive Midfield,Right,187,90000000.0,FR1,23.0
Sofiane Diop,As Monaco,France,France,Attack,Left Winger,Right,175,18000000.0,FR1,23.0
Vanderson,As Monaco,Brazil,Brazil,Defender,Right-Back,Right,173,18000000.0,FR1,22.0
Caio Henrique,As Monaco,Brazil,Brazil,Defender,Left-Back,Left,178,20000000.0,FR1,26.0
Kevin Danso,Rc Lens,Austria,Austria,Defender,Centre-Back,Right,190,14000000.0,FR1,25.0
Axel Disasi,As Monaco,France,France,Defender,Centre-Back,Right,190,25000000.0,FR1,25.0
Benoît Badiashile,As Monaco,France,France,Defender,Centre-Back,Left,194,40000000.0,FR1,22.0
Krépin Diatta,As Monaco,Senegal,Senegal,Attack,Right Winger,Right,175,13000000.0,FR1,24.0
Strahinja Pavlovic,As Monaco,Serbia,Yugoslavia (Republic),Defender,Centre-Back,Left,194,20000000.0,FR1,22.0
Guillermo Maripán,As Monaco,Chile,Chile,Defender,Centre-Back,Right,190,13000000.0,FR1,29.0
Gerson,Olympique Marseille,Brazil,Brazil,Attack,Attacking Midfield,Left,184,18000000.0,FR1,26.0
Cengiz Ünder,Olympique Marseille,Turkey,Turkey,Attack,Right Winger,Left,173,17000000.0,FR1,26.0
Valentin Rongier,Olympique Marseille,France,France,Midfield,Central Midfield,Right,172,14000000.0,FR1,29.0
Mattéo Guendouzi,Olympique Marseille,France,France,Midfield,Central Midfield,Right,185,25000000.0,FR1,24.0
Boubacar Kamara,Olympique Marseille,France,France,Midfield,Defensive Midfield,Right,184,25000000.0,FR1,24.0
Amine Harit,Olympique Marseille,Morocco,France,Attack,Attacking Midfield,Right,180,14000000.0,FR1,26.0
Duje Caleta-Car,Olympique Marseille,Croatia,Croatia,Defender,Centre-Back,Right,192,14000000.0,FR1,27.0
William Saliba,Olympique Marseille,France,France,Defender,Centre-Back,Right,192,50000000.0,FR1,22.0
Pau López,Olympique Marseille,Spain,Spain,Goalkeeper,,Left,189,12000000.0,FR1,29.0
Ludovic Blas,Fc Nantes,France,France,Attack,Attacking Midfield,Left,180,15000000.0,FR1,26.0
Randal Kolo Muani,Fc Nantes,France,France,Attack,Centre-Forward,Right,187,37000000.0,FR1,25.0
Alban Lafont,Fc Nantes,France,Burkina Faso,Goalkeeper,,Right,196,16000000.0,FR1,24.0
Habib Diallo,Rc Strassburg Alsace,Senegal,Senegal,Attack,Centre-Forward,Right,186,12000000.0,FR1,28.0
Ludovic Ajorque,Rc Strassburg Alsace,France,Réunion,Attack,Centre-Forward,Left,197,11000000.0,FR1,29.0
