name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Hakan Calhanoglu,Inter Mailand,Turkey,Germany,Midfield,Central Midfield,Right,178,35000000.0,IT1,29.0
Nicolò Barella,Inter Mailand,Italy,Italy,Midfield,Central Midfield,Right,172,70000000.0,IT1,26.0
Federico Dimarco,Inter Mailand,Italy,Italy,Defender,Left-Back,Left,175,25000000.0,IT1,26.0
Alessandro Bastoni,Inter Mailand,Italy,Italy,Defender,Centre-Back,Left,190,55000000.0,IT1,24.0
Stefan de Vrij,Inter Mailand,Netherlands,Netherlands,Defender,Centre-Back,Right,189,15000000.0,IT1,31.0
Milan Skriniar,Inter Mailand,Slovakia,Slovakia,Defender,Centre-Back,Right,188,60000000.0,IT1,28.0
Giacomo Raspadori,Us Sassuolo,Italy,Italy,Attack,Second Striker,Both,172,35000000.0,IT1,23.0
Domenico Berardi,Us Sassuolo,Italy,Italy,Attack,Right Winger,Left,183,23000000.0,IT1,29.0
Hamed Junior Traorè,Us Sassuolo,Cote d'Ivoire,Cote d'Ivoire,Attack,Attacking Midfield,Both,177,22000000.0,IT1,23.0
Davide Frattesi,Us Sassuolo,Italy,Italy,Midfield,Central Midfield,Right,184,22000000.0,IT1,24.0
Maxime López,Us Sassuolo,France,France,Midfield,Defensive Midfield,Right,167,15000000.0,IT1,26.0
Marcelo Brozovic,Inter Mailand,Croatia,Croatia,Midfield,Defensive Midfield,Both,181,35000000.0,IT1,31.0
Duván Zapata,Atalanta Bergamo,Colombia,Colombia,Attack,Centre-Forward,Right,189,18000000.0,IT1,32.0
Matteo Pessina,Atalanta Bergamo,Italy,Italy,Attack,Attacking Midfield,Left,187,14000000.0,IT1,26.0
Mario Pasalic,Atalanta Bergamo,Croatia,Germany,Attack,Attacking Midfield,Right,188,25000000.0,IT1,28.0
Luis Muriel,Atalanta Bergamo,Colombia,Colombia,Attack,Centre-Forward,Right,179,12000000.0,IT1,32.0
Robin Gosens,Atalanta Bergamo,Germany,Germany,Midfield,Left Midfield,Left,183,18000000.0,IT1,29.0
Jérémie Boga,Atalanta Bergamo,Cote d'Ivoire,France,Attack,Left Winger,Right,174,15000000.0,IT1,26.0
Remo Freuler,Atalanta Bergamo,Switzerland,Switzerland,Midfield,Central Midfield,Right,180,13000000.0,IT1,31.0
Teun Koopmeiners,Atalanta Bergamo,Netherlands,Netherlands,Midfield,Defensive Midfield,Left,183,30000000.0,IT1,25.0
Ruslan Malinovskyi,Atalanta Bergamo,Ukraine,Ukraine,Attack,Attacking Midfield,Left,181,18000000.0,IT1,30.0
Joakim Maehle,Atalanta Bergamo,Denmark,Denmark,Defender,Left-Back,Right,185,14000000.0,IT1,26.0
Giorgio Scalvini,Atalanta Bergamo,Italy,Italy,Defender,Centre-Back,Right,194,20000000.0,IT1,20.0
Gianluca Scamacca,Us Sassuolo,Italy,Italy,Attack,Centre-Forward,Right,195,30000000.0,IT1,24.0
Merih Demiral,Atalanta Bergamo,Turkey,Turkey,Defender,Centre-Back,Right,190,25000000.0,IT1,25.0
Berat Djimsiti,Atalanta Bergamo,Albania,Switzerland,Defender,Centre-Back,Right,190,13000000.0,IT1,30.0
Marten de Roon,Atalanta Bergamo,Netherlands,Netherlands,Midfield,Defensive Midfield,Right,185,12000000.0,IT1,32.0
Mikkel Damsgaard,Sampdoria Genua,Denmark,Denmark,Attack,Left Winger,Right,180,15000000.0,IT1,23.0
Giovanni Simeone,Hellas Verona,Argentina,Argentina,Attack,Centre-Forward,Right,180,17000000.0,IT1,28.0
Antonin Barak,Hellas Verona,Czech Republic,Czech Republic,Attack,Attacking Midfield,Left,190,12000000.0,IT1,29.0
Ivan Ilić,Hellas Verona,Serbia,Yugoslavia (Republic),Midfield,Central Midfield,Left,185,13000000.0,IT1,22.0
Juan Musso,Atalanta Bergamo,Argentina,Argentina,Goalkeeper,,Right,191,16000000.0,IT1,29.0
Ciro Immobile,Lazio Rom,Italy,Italy,Attack,Centre-Forward,Right,185,23000000.0,IT1,33.0
Felipe Anderson,Lazio Rom,Brazil,Brazil,Attack,Right Winger,Right,175,15000000.0,IT1,30.0
Mattia Zaccagni,Lazio Rom,Italy,Italy,Attack,Left Winger,Right,177,22000000.0,IT1,28.0
Luis Alberto,Lazio Rom,Spain,Spain,Midfield,Central Midfield,Right,183,18000000.0,IT1,31.0
Manuel Lazzari,Lazio Rom,Italy,Italy,Defender,Right-Back,Right,174,15000000.0,IT1,30.0
Sergej Milinković-Savić,Lazio Rom,Serbia,Spain,Midfield,Central Midfield,Right,191,60000000.0,IT1,28.0
Luiz Felipe,Lazio Rom,Italy,Brazil,Defender,Centre-Back,Right,187,15000000.0,IT1,26.0
Andrea Belotti,Fc Turin,Italy,Italy,Attack,Centre-Forward,Right,181,15000000.0,IT1,30.0
Saša Lukić,Fc Turin,Serbia,Yugoslavia (Republic),Midfield,Central Midfield,Right,183,13000000.0,IT1,27.0
Tommaso Pobega,Fc Turin,Italy,Italy,Midfield,Central Midfield,Both,188,18000000.0,IT1,24.0
Stephane Singo,Fc Turin,Cote d'Ivoire,Cote d'Ivoire,Defender,Right-Back,Right,190,14000000.0,IT1,23.0
Bremer,Fc Turin,Brazil,Brazil,Defender,Centre-Back,Right,188,40000000.0,IT1,26.0
Momo Cho,Sco Angers,France,France,Attack,Centre-Forward,Left,182,15000000.0,FR1,19.0
Samuele Ricci,Fc Turin,Italy,Italy,Midfield,Defensive Midfield,Right,180,12000000.0,IT1,22.0
Azzedine Ounahi,Sco Angers,Morocco,Morocco,Midfield,Central Midfield,Right,182,15000000.0,FR1,23.0
Nicolás Domínguez,Fc Bologna,Argentina,Argentina,Midfield,Central Midfield,Right,179,12000000.0,IT1,25.0
Mattias Svanberg,Fc Bologna,Sweden,Sweden,Midfield,Central Midfield,Right,185,15000000.0,IT1,24.0
Takehiro Tomiyasu,Fc Bologna,Japan,Japan,Defender,Right-Back,Right,188,25000000.0,IT1,25.0
Andreas Skov Olsen,Fc Bologna,Denmark,Denmark,Midfield,Right Midfield,Left,187,20000000.0,IT1,24.0
Aaron Hickey,Fc Bologna,Scotland,Scotland,Defender,Left-Back,Both,185,18000000.0,IT1,21.0
Musa Barrow,Fc Bologna,The Gambia,The Gambia,Attack,Left Winger,Right,184,12000000.0,IT1,25.0
Arthur Theate,Fc Bologna,Belgium,Belgium,Defender,Centre-Back,Left,185,20000000.0,IT1,23.0
Éderson,Us Salernitana 1919,Brazil,Brazil,Midfield,Central Midfield,Right,183,20000000.0,IT1,24.0
Nicolò Rovella,Genua Cfc,Italy,Italy,Midfield,Defensive Midfield,Right,179,12000000.0,IT1,22.0
Moise Kean,Juventus Turin,Italy,Italy,Attack,Centre-Forward,Right,183,20000000.0,IT1,23.0
Álvaro Morata,Juventus Turin,Spain,Spain,Attack,Centre-Forward,Right,189,25000000.0,IT1,31.0
Cristiano Ronaldo,Juventus Turin,Portugal,Portugal,Attack,Centre-Forward,Right,187,20000000.0,IT1,38.0
Dusan Vlahovic,Juventus Turin,Serbia,Yugoslavia (Republic),Attack,Centre-Forward,Left,190,80000000.0,IT1,23.0
Paulo Dybala,Juventus Turin,Argentina,Argentina,Attack,Second Striker,Left,177,30000000.0,IT1,30.0
Dejan Kulusevski,Juventus Turin,Sweden,Sweden,Attack,Right Winger,Left,186,50000000.0,IT1,23.0
Federico Chiesa,Juventus Turin,Italy,Italy,Attack,Right Winger,Right,175,60000000.0,IT1,26.0
Fabio Miretti,Juventus Turin,Italy,Italy,Midfield,Central Midfield,Right,179,15000000.0,IT1,20.0
Adrien Rabiot,Juventus Turin,France,France,Midfield,Central Midfield,Left,188,25000000.0,IT1,28.0
Weston McKennie,Juventus Turin,United States,United States,Midfield,Central Midfield,Right,185,21000000.0,IT1,25.0
Denis Zakaria,Juventus Turin,Switzerland,Switzerland,Midfield,Defensive Midfield,Right,190,20000000.0,IT1,27.0
Manuel Locatelli,Juventus Turin,Italy,Italy,Midfield,Defensive Midfield,Right,185,30000000.0,IT1,25.0
Rodrigo Bentancur,Juventus Turin,Uruguay,Uruguay,Midfield,Central Midfield,Right,187,40000000.0,IT1,26.0
Danilo,Juventus Turin,Brazil,Brazil,Defender,Right-Back,Right,184,12000000.0,IT1,32.0
Matthijs de Ligt,Juventus Turin,Netherlands,Netherlands,Defender,Centre-Back,Right,189,70000000.0,IT1,24.0
Arthur Melo,Juventus Turin,Brazil,Brazil,Midfield,Central Midfield,Right,172,18000000.0,IT1,27.0
Wojciech Szczesny,Juventus Turin,Poland,Poland,Goalkeeper,,Right,196,13000000.0,IT1,33.0
Matteo Politano,Ssc Neapel,Italy,Italy,Attack,Right Winger,Left,171,20000000.0,IT1,30.0
Hirving Lozano,Ssc Neapel,Mexico,Mexico,Attack,Right Winger,Right,175,28000000.0,IT1,28.0
Lorenzo Insigne,Ssc Neapel,Italy,Italy,Attack,Left Winger,Right,163,15000000.0,IT1,32.0
Piotr Zielinski,Ssc Neapel,Poland,Poland,Attack,Attacking Midfield,Both,180,40000000.0,IT1,29.0
Stanislav Lobotka,Ssc Neapel,Slovakia,Slovakia,Midfield,Defensive Midfield,Both,170,30000000.0,IT1,29.0
Frank Anguissa,Ssc Neapel,Cameroon,Cameroon,Midfield,Defensive Midfield,Right,184,38000000.0,IT1,28.0
Fabián Ruiz,Ssc Neapel,Spain,Spain,Midfield,Central Midfield,Left,189,45000000.0,IT1,27.0
Giovanni Di Lorenzo,Ssc Neapel,Italy,Italy,Defender,Right-Back,Right,183,25000000.0,IT1,30.0
Amir Rrahmani,Ssc Neapel,Kosovo,Yugoslavia (Republic),Defender,Centre-Back,Both,192,25000000.0,IT1,29.0
Alex Meret,Ssc Neapel,Italy,Italy,Goalkeeper,,Left,190,13000000.0,IT1,26.0
Krzysztof Piatek,Ac Florenz,Poland,Poland,Attack,Centre-Forward,Right,183,11000000.0,IT1,28.0
Arthur Cabral,Ac Florenz,Brazil,Brazil,Attack,Centre-Forward,Right,186,12000000.0,IT1,25.0
Kalidou Koulibaly,Ssc Neapel,Senegal,France,Defender,Centre-Back,Right,186,35000000.0,IT1,32.0
Jonathan Ikoné,Ac Florenz,France,France,Attack,Right Winger,Left,175,16000000.0,IT1,25.0
Eljif Elmas,Ssc Neapel,North Macedonia,Macedonia,Attack,Attacking Midfield,Right,182,23000000.0,IT1,24.0
Nicolás González,Ac Florenz,Argentina,Argentina,Attack,Left Winger,Left,180,23000000.0,IT1,25.0
Victor Osimhen,Ssc Neapel,Nigeria,Nigeria,Attack,Centre-Forward,Right,186,70000000.0,IT1,25.0
Sofyan Amrabat,Ac Florenz,Morocco,Netherlands,Midfield,Defensive Midfield,Right,185,25000000.0,IT1,27.0
Nikola Milenković,Ac Florenz,Serbia,Yugoslavia (Republic),Defender,Centre-Back,Right,195,20000000.0,IT1,26.0
Lucas Torreira,Ac Florenz,Uruguay,Uruguay,Midfield,Defensive Midfield,Right,166,15000000.0,IT1,27.0
Igor,Ac Florenz,Brazil,Brazil,Defender,Centre-Back,Left,185,11000000.0,IT1,25.0
Fábio Silva,Wolverhampton Wanderers,Portugal,Portugal,Attack,Centre-Forward,Right,185,13000000.0,GB1,21.0
Ché Adams,Fc Southampton,Scotland,England,Attack,Centre-Forward,Right,179,22000000.0,GB1,27.0
Adam Armstrong,Fc Southampton,England,England,Attack,Centre-Forward,Right,173,15000000.0,GB1,26.0
Mohamed Elyounoussi,Fc Southampton,Norway,Morocco,Attack,Left Winger,Right,178,12000000.0,GB1,29.0
Nathan Redmond,Fc Southampton,England,England,Attack,Left Winger,Right,173,11000000.0,GB1,29.0
Demarai Gray,Fc Everton,England,England,Attack,Left Winger,Right,183,20000000.0,GB1,27.0
Anthony Gordon,Fc Everton,England,England,Attack,Left Winger,Right,182,40000000.0,GB1,22.0
Richarlison,Fc Everton,Brazil,Brazil,Attack,Left Winger,Right,184,55000000.0,GB1,26.0
Alex Iwobi,Fc Everton,Nigeria,Nigeria,Attack,Attacking Midfield,Right,183,25000000.0,GB1,27.0
Tom Davies,Fc Everton,England,England,Midfield,Central Midfield,Right,180,12000000.0,GB1,25.0
André Gomes,Fc Everton,Portugal,Portugal,Midfield,Central Midfield,Right,188,14000000.0,GB1,30.0
Abdoulaye Doucouré,Fc Everton,Mali,France,Midfield,Central Midfield,Right,183,12000000.0,GB1,30.0
Donny van de Beek,Fc Everton,Netherlands,Netherlands,Midfield,Central Midfield,Right,184,20000000.0,GB1,26.0
Dele Alli,Fc Everton,England,England,Attack,Attacking Midfield,Right,188,14000000.0,GB1,27.0
Nathan Patterson,Fc Everton,Scotland,Scotland,Defender,Right-Back,Right,189,14000000.0,GB1,22.0
Lucas Digne,Fc Everton,France,France,Defender,Left-Back,Left,178,22000000.0,GB1,30.0
Armando Broja,Fc Southampton,Albania,England,Attack,Centre-Forward,Right,191,30000000.0,GB1,22.0
Yerry Mina,Fc Everton,Colombia,Colombia,Defender,Centre-Back,Right,195,18000000.0,GB1,29.0
Michael Keane,Fc Everton,England,England,Defender,Centre-Back,Right,188,14000000.0,GB1,30.0
Mason Holgate,Fc Everton,England,England,Defender,Centre-Back,Right,187,16000000.0,GB1,27.0
Ivan Toney,Fc Brentford,England,England,Attack,Centre-Forward,Right,185,45000000.0,GB1,27.0
Sergi Canós,Fc Brentford,Spain,Spain,Attack,Right Winger,Right,177,12000000.0,GB1,26.0
Bryan Mbeumo,Fc Brentford,Cameroon,France,Attack,Right Winger,Left,171,28000000.0,GB1,24.0
Yoane Wissa,Fc Brentford,DR Congo,France,Attack,Left Winger,Right,180,15000000.0,GB1,27.0
Dominic Calvert-Lewin,Fc Everton,England,England,Attack,Centre-Forward,Right,189,30000000.0,GB1,26.0
Christian Eriksen,Fc Brentford,Denmark,Denmark,Attack,Attacking Midfield,Right,182,25000000.0,GB1,31.0
Jordan Pickford,Fc Everton,England,England,Goalkeeper,,Left,185,28000000.0,GB1,29.0
Vitaly Janelt,Fc Brentford,Germany,Germany,Midfield,Defensive Midfield,Left,184,16000000.0,GB1,25.0
Christian Nörgaard,Fc Brentford,Denmark,Denmark,Midfield,Defensive Midfield,Right,187,14000000.0,GB1,29.0
James Ward-Prowse,Fc Southampton,England,England,Midfield,Central Midfield,Right,177,35000000.0,GB1,29.0
Rico Henry,Fc Brentford,England,England,Defender,Left-Back,Left,170,22000000.0,GB1,26.0
Mathias Jensen,Fc Brentford,Denmark,Denmark,Midfield,Central Midfield,Right,180,14000000.0,GB1,27.0
Ethan Pinnock,Fc Brentford,Jamaica,England,Defender,Centre-Back,Left,194,12000000.0,GB1,30.0
Kristoffer Ajer,Fc Brentford,Norway,Norway,Defender,Centre-Back,Right,198,16000000.0,GB1,25.0
Ben Godfrey,Fc Everton,England,England,Defender,Centre-Back,Right,184,18000000.0,GB1,25.0
Kyle Walker-Peters,Fc Southampton,England,England,Defender,Right-Back,Right,173,25000000.0,GB1,26.0
Tino Livramento,Fc Southampton,England,England,Defender,Right-Back,Right,173,25000000.0,GB1,21.0
David Raya,Fc Brentford,Spain,Spain,Goalkeeper,,Right,183,22000000.0,GB1,28.0
Jan Bednarek,Fc Southampton,Poland,Poland,Defender,Centre-Back,Right,189,18000000.0,GB1,27.0
Mohammed Salisu,Fc Southampton,Ghana,Ghana,Defender,Centre-Back,Left,188,18000000.0,GB1,24.0
Patrick Bamford,Leeds United,England,England,Attack,Centre-Forward,Left,185,12000000.0,GB1,30.0
Raphinha,Leeds United,Brazil,Brazil,Attack,Right Winger,Left,176,50000000.0,GB1,27.0
Daniel James,Leeds United,Wales,England,Attack,Right Winger,Right,171,16000000.0,GB1,26.0
Jack Harrison,Leeds United,England,England,Attack,Left Winger,Left,175,25000000.0,GB1,27.0
Kalvin Phillips,Leeds United,England,England,Midfield,Defensive Midfield,Right,179,45000000.0,GB1,28.0
Pascal Struijk,Leeds United,Netherlands,Belgium,Defender,Centre-Back,Left,190,20000000.0,GB1,24.0
Robin Koch,Leeds United,Germany,Germany,Defender,Centre-Back,Right,191,18000000.0,GB1,27.0
Diego Llorente,Leeds United,Spain,Spain,Defender,Centre-Back,Right,186,12000000.0,GB1,30.0
Hee-chan Hwang,Wolverhampton Wanderers,"Korea, South","Korea, South",Attack,Centre-Forward,Right,177,12000000.0,GB1,27.0
Raúl Jiménez,Wolverhampton Wanderers,Mexico,Mexico,Attack,Centre-Forward,Right,188,12000000.0,GB1,32.0
Daniel Podence,Wolverhampton Wanderers,Portugal,Portugal,Attack,Right Winger,Right,165,20000000.0,GB1,28.0
Pedro Neto,Wolverhampton Wanderers,Portugal,Portugal,Attack,Left Winger,Left,172,32000000.0,GB1,23.0
Morgan Gibbs-White,Wolverhampton Wanderers,England,England,Attack,Attacking Midfield,Right,178,25000000.0,GB1,23.0
Leander Dendoncker,Wolverhampton Wanderers,Belgium,Belgium,Midfield,Defensive Midfield,Right,188,22000000.0,GB1,28.0
Rúben Neves,Wolverhampton Wanderers,Portugal,Portugal,Midfield,Defensive Midfield,Right,180,40000000.0,GB1,26.0
Jonny Otto,Wolverhampton Wanderers,Spain,Spain,Defender,Left-Back,Both,175,17000000.0,GB1,29.0
Adama Traoré,Wolverhampton Wanderers,Spain,Spain,Attack,Right Winger,Right,178,15000000.0,GB1,27.0
Francisco Trincão,Wolverhampton Wanderers,Portugal,Portugal,Attack,Right Winger,Left,184,20000000.0,GB1,24.0
Nélson Semedo,Wolverhampton Wanderers,Portugal,Portugal,Defender,Right-Back,Right,177,18000000.0,GB1,30.0
Junior Firpo,Leeds United,Dominican Republic,Dominican Republic,Defender,Left-Back,Left,184,12000000.0,GB1,27.0
Max Kilman,Wolverhampton Wanderers,England,England,Defender,Centre-Back,Left,194,20000000.0,GB1,26.0
Illan Meslier,Leeds United,France,France,Goalkeeper,,Left,197,22000000.0,GB1,23.0
José Sá,Wolverhampton Wanderers,Portugal,Portugal,Goalkeeper,,Right,192,18000000.0,GB1,30.0
Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,France,Defender,Left-Back,Left,180,22000000.0,GB1,22.0
Conor Coady,Wolverhampton Wanderers,England,England,Defender,Centre-Back,Right,185,18000000.0,GB1,30.0
Leandro Trossard,Brighton Amp Hove Albion,Belgium,Belgium,Attack,Left Winger,Right,172,30000000.0,GB1,29.0
Neal Maupay,Brighton Amp Hove Albion,France,France,Attack,Centre-Forward,Right,173,13000000.0,GB1,27.0
Solly March,Brighton Amp Hove Albion,England,England,Midfield,Left Midfield,Left,180,12000000.0,GB1,29.0
Alexis Mac Allister,Brighton Amp Hove Albion,Argentina,Argentina,Midfield,Central Midfield,Right,174,42000000.0,GB1,25.0
Yves Bissouma,Brighton Amp Hove Albion,Mali,Cote d'Ivoire,Midfield,Central Midfield,Right,182,32000000.0,GB1,27.0
Tariq Lamptey,Brighton Amp Hove Albion,Ghana,England,Defender,Right-Back,Right,163,15000000.0,GB1,23.0
Dan Burn,Brighton Amp Hove Albion,England,England,Defender,Centre-Back,Left,200,12000000.0,GB1,31.0
Lewis Dunk,Brighton Amp Hove Albion,England,England,Defender,Centre-Back,Right,192,18000000.0,GB1,32.0
Moisés Caicedo,Brighton Amp Hove Albion,Ecuador,Ecuador,Midfield,Central Midfield,Right,178,38000000.0,GB1,22.0
Marc Cucurella,Brighton Amp Hove Albion,Spain,Spain,Defender,Left-Back,Left,173,55000000.0,GB1,25.0
Robert Sánchez,Brighton Amp Hove Albion,Spain,Spain,Goalkeeper,,Right,197,32000000.0,GB1,26.0
Eberechi Eze,Crystal Palace,England,England,Attack,Attacking Midfield,Right,178,30000000.0,GB1,25.0
Wilfried Zaha,Crystal Palace,Cote d'Ivoire,Cote d'Ivoire,Attack,Left Winger,Right,180,32000000.0,GB1,31.0
Odsonne Edouard,Crystal Palace,France,French Guiana,Attack,Centre-Forward,Right,187,17000000.0,GB1,25.0
Michael Olise,Crystal Palace,France,England,Midfield,Right Midfield,Left,184,22000000.0,GB1,22.0
Conor Gallagher,Crystal Palace,England,England,Midfield,Central Midfield,Right,182,32000000.0,GB1,23.0
Joachim Andersen,Crystal Palace,Denmark,Denmark,Defender,Centre-Back,Right,192,32000000.0,GB1,27.0
Marc Guéhi,Crystal Palace,England,Cote d'Ivoire,Defender,Centre-Back,Right,182,35000000.0,GB1,23.0
Adam Webster,Brighton Amp Hove Albion,England,England,Defender,Centre-Back,Right,190,22000000.0,GB1,28.0
Jakub Moder,Brighton Amp Hove Albion,Poland,Poland,Midfield,Central Midfield,Right,191,12000000.0,GB1,24.0
Josh Sargent,Norwich City,United States,United States,Attack,Centre-Forward,Right,185,12000000.0,GB1,23.0
Billy Gilmour,Norwich City,Scotland,Scotland,Midfield,Central Midfield,Right,170,12000000.0,GB1,22.0
Tyrick Mitchell,Crystal Palace,England,England,Defender,Left-Back,Left,175,28000000.0,GB1,24.0
Max Aarons,Norwich City,England,England,Defender,Right-Back,Right,171,18000000.0,GB1,23.0
Emmanuel Dennis,Fc Watford,Nigeria,Nigeria,Attack,Centre-Forward,Right,175,12000000.0,GB1,26.0
Ismaïla Sarr,Fc Watford,Senegal,Senegal,Attack,Right Winger,Right,185,22000000.0,GB1,25.0
João Pedro,Fc Watford,Brazil,Brazil,Attack,Centre-Forward,Right,182,20000000.0,GB1,22.0
Folarin Balogun,Fc Arsenal,England,United States,Attack,Centre-Forward,Right,178,14000000.0,GB1,22.0
Gabriel Jesus,Manchester City,Brazil,Brazil,Attack,Centre-Forward,Right,175,75000000.0,GB1,26.0
Romelu Lukaku,Fc Chelsea,Belgium,Belgium,Attack,Centre-Forward,Left,191,55000000.0,GB1,30.0
Timo Werner,Fc Chelsea,Germany,Germany,Attack,Centre-Forward,Right,180,25000000.0,GB1,27.0
Callum Hudson-Odoi,Fc Chelsea,England,England,Attack,Left Winger,Right,177,25000000.0,GB1,23.0
Hakim Ziyech,Fc Chelsea,Morocco,Netherlands,Attack,Attacking Midfield,Left,181,20000000.0,GB1,30.0
Kai Havertz,Fc Chelsea,Germany,Germany,Attack,Attacking Midfield,Left,190,70000000.0,GB1,24.0
Mason Mount,Fc Chelsea,England,England,Attack,Attacking Midfield,Right,181,75000000.0,GB1,24.0
Ruben Loftus-Cheek,Fc Chelsea,England,England,Midfield,Central Midfield,Right,191,25000000.0,GB1,27.0
Christian Pulisic,Fc Chelsea,United States,United States,Attack,Right Winger,Right,177,38000000.0,GB1,25.0
Mateo Kovacic,Fc Chelsea,Croatia,Austria,Midfield,Central Midfield,Right,177,40000000.0,GB1,29.0
Jorginho,Fc Chelsea,Italy,Brazil,Midfield,Defensive Midfield,Right,178,35000000.0,GB1,32.0
Emerson,Fc Chelsea,Italy,Brazil,Defender,Left-Back,Left,176,12000000.0,GB1,29.0
Ben Chilwell,Fc Chelsea,England,England,Defender,Left-Back,Left,180,38000000.0,GB1,27.0
Trevoh Chalobah,Fc Chelsea,England,Sierra Leone,Defender,Centre-Back,Right,192,22000000.0,GB1,24.0
Kurt Zouma,Fc Chelsea,France,France,Defender,Centre-Back,Right,190,32000000.0,GB1,29.0
Andreas Christensen,Fc Chelsea,Denmark,Denmark,Defender,Centre-Back,Right,187,30000000.0,GB1,27.0
Antonio Rüdiger,Fc Chelsea,Germany,Germany,Defender,Centre-Back,Right,190,40000000.0,GB1,30.0
Kepa Arrizabalaga,Fc Chelsea,Spain,Spain,Goalkeeper,,Right,186,15000000.0,GB1,29.0
Saúl Ñíguez,Fc Chelsea,Spain,Spain,Midfield,Central Midfield,Left,184,15000000.0,GB1,29.0
Reece James,Fc Chelsea,England,England,Defender,Right-Back,Right,180,70000000.0,GB1,24.0
N'Golo Kanté,Fc Chelsea,France,France,Midfield,Defensive Midfield,Right,169,30000000.0,GB1,32.0
Edouard Mendy,Fc Chelsea,Senegal,France,Goalkeeper,,Right,194,25000000.0,GB1,31.0
Riyad Mahrez,Manchester City,Algeria,France,Attack,Right Winger,Left,179,30000000.0,GB1,32.0
Ferran Torres,Manchester City,Spain,Spain,Attack,Left Winger,Right,182,35000000.0,GB1,23.0
Bernardo Silva,Manchester City,Portugal,Portugal,Attack,Attacking Midfield,Left,173,80000000.0,GB1,29.0
Kevin De Bruyne,Manchester City,Belgium,Belgium,Attack,Attacking Midfield,Right,181,80000000.0,GB1,32.0
Ilkay Gündogan,Manchester City,Germany,Germany,Midfield,Central Midfield,Right,180,25000000.0,GB1,33.0
Phil Foden,Manchester City,England,England,Midfield,Central Midfield,Left,171,110000000.0,GB1,23.0
Roméo Lavia,Manchester City,Belgium,Belgium,Midfield,Defensive Midfield,Right,181,25000000.0,GB1,19.0
Kyle Walker,Manchester City,England,England,Defender,Right-Back,Right,183,15000000.0,GB1,33.0
João Cancelo,Manchester City,Portugal,Portugal,Defender,Right-Back,Right,182,70000000.0,GB1,29.0
Cole Palmer,Manchester City,England,England,Attack,Attacking Midfield,Left,182,15000000.0,GB1,21.0
Jack Grealish,Manchester City,England,England,Attack,Left Winger,Right,180,70000000.0,GB1,28.0
Oleksandr Zinchenko,Manchester City,Ukraine,Ukraine,Defender,Left-Back,Left,175,32000000.0,GB1,27.0
Nathan Aké,Manchester City,Netherlands,Netherlands,Defender,Centre-Back,Left,180,30000000.0,GB1,28.0
John Stones,Manchester City,England,England,Defender,Centre-Back,Right,188,30000000.0,GB1,29.0
Aymeric Laporte,Manchester City,Spain,France,Defender,Centre-Back,Left,189,38000000.0,GB1,29.0
Rúben Dias,Manchester City,Portugal,Portugal,Defender,Centre-Back,Right,187,75000000.0,GB1,26.0
Raheem Sterling,Manchester City,England,Jamaica,Attack,Left Winger,Right,170,70000000.0,GB1,29.0
Ederson,Manchester City,Brazil,Brazil,Goalkeeper,,Left,188,45000000.0,GB1,30.0
Ollie Watkins,Aston Villa,England,England,Attack,Centre-Forward,Right,180,32000000.0,GB1,28.0
Rodri,Manchester City,Spain,Spain,Midfield,Defensive Midfield,Right,191,80000000.0,GB1,27.0
Bertrand Traoré,Aston Villa,Burkina Faso,Burkina Faso,Attack,Right Winger,Left,181,14000000.0,GB1,28.0
Emiliano Buendía,Aston Villa,Argentina,Argentina,Attack,Right Winger,Right,172,28000000.0,GB1,27.0
Philippe Coutinho,Aston Villa,Brazil,Brazil,Attack,Left Winger,Right,172,18000000.0,GB1,31.0
Leon Bailey,Aston Villa,Jamaica,Jamaica,Attack,Left Winger,Left,178,25000000.0,GB1,26.0
Carney Chukwuemeka,Aston Villa,England,Austria,Midfield,Central Midfield,Right,187,15000000.0,GB1,20.0
John McGinn,Aston Villa,Scotland,Scotland,Midfield,Central Midfield,Left,178,30000000.0,GB1,29.0
Jacob Ramsey,Aston Villa,England,England,Midfield,Central Midfield,Right,180,28000000.0,GB1,22.0
Danny Ings,Aston Villa,England,England,Attack,Centre-Forward,Right,177,16000000.0,GB1,31.0
Matty Cash,Aston Villa,Poland,England,Defender,Right-Back,Right,185,22000000.0,GB1,26.0
Matt Targett,Aston Villa,England,England,Defender,Left-Back,Left,183,15000000.0,GB1,28.0
Ezri Konsa,Aston Villa,England,England,Defender,Centre-Back,Right,183,22000000.0,GB1,26.0
Tyrone Mings,Aston Villa,England,England,Defender,Centre-Back,Left,196,25000000.0,GB1,30.0
Roberto Firmino,Fc Liverpool,Brazil,Brazil,Attack,Centre-Forward,Right,181,28000000.0,GB1,32.0
Mohamed Salah,Fc Liverpool,Egypt,Egypt,Attack,Right Winger,Left,175,80000000.0,GB1,31.0
Diogo Jota,Fc Liverpool,Portugal,Portugal,Attack,Left Winger,Right,178,55000000.0,GB1,27.0
Douglas Luiz,Aston Villa,Brazil,Brazil,Midfield,Defensive Midfield,Right,177,35000000.0,GB1,25.0
Harvey Elliott,Fc Liverpool,England,England,Attack,Attacking Midfield,Left,170,35000000.0,GB1,20.0
